id_contratista;id_asosicion;id_persona;created_at;updated_at
32;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
33;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
34;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
35;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
36;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
37;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
38;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
39;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
40;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
41;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
42;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
43;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
44;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
45;31;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
46;32;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
47;null;142;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
48;34;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
49;35;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
50;36;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
51;37;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
52;38;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
53;39;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
54;40;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
55;41;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
56;42;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
57;43;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
58;44;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
59;45;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
60;46;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
61;47;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
62;48;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
63;49;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
64;50;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
65;51;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
66;52;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
67;null;143;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
68;54;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
69;55;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
70;56;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
71;57;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
72;58;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
73;59;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
74;60;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
75;61;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
76;62;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
77;63;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
78;64;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
79;65;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
;null;144;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
80;null;144;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
81;67;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
82;68;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
83;69;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
84;70;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
85;null;145;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
88;74;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
89;75;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
90;76;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
91;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
92;77;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
93;78;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
94;79;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
95;99;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
96;80;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
97;null;9;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
98;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
99;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
100;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
101;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
102;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
103;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
104;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
105;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
106;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
107;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
108;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
109;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
110;91;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
111;null;146;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
112;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
113;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
114;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
115;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
116;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
117;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
118;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
119;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
120;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
121;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
122;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
123;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
124;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
125;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
126;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
127;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
128;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
129;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
130;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
131;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
132;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
133;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
134;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
135;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
136;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
137;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
138;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
139;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
140;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
141;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
142;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
143;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
144;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
145;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
146;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
147;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
148;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
149;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
150;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
151;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
152;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
153;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
154;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
155;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
156;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
157;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
158;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
159;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
160;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
161;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
162;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
163;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
164;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
165;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
166;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
167;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
168;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
169;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
170;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
171;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
172;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
173;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
174;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
175;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
176;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
177;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
178;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
179;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
180;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
181;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
182;null;149;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
183;null;148;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
184;96;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
185;null;147;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
186;null;148;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z
187;null;null;2025-10-14T00:00:00Z;2025-10-14T00:00:00Z

